Tarih;Gün;Reklam Hesabı;Günlük Bütçe (Bağlam);Gerçekleşen Harcama;Bütçe Kullanımı % (Bilgi);7 Günlük Tipik Harcama;Normal Harcama Oranı %;Harcama Yapan Set;Medyan Set;Set Kapsama %;Eşzamanlı Hesap;Ham Sinyal;Yorum;Tahmini Harcama Açığı;Tamamlanmış Gün
2026-07-16;Perşembe;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;49251.4;0.9061895124195033;36106.565;1.3640566473160767;110;112.5;0.9777777777777777;0;Normal;Normal;0;Evet
2026-07-16;Perşembe;Doruk Hospital;82500;63950.24;0.7751544242424242;56251.54;1.1368620307995123;12;12;1;0;Normal;Normal;0;Evet
2026-07-17;Cuma;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;35216.41;0.6479560257589697;43386.455;0.8116913446834964;110;112.5;0.9777777777777777;0;Normal;Normal;8170.044999999998;Evet
2026-07-17;Cuma;Doruk Hospital;82500;64019.47;0.7759935757575758;63950.24;1.0010825604407427;12;12;1;0;Normal;Normal;0;Evet
2026-07-18;Cumartesi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;61528.81;1.1320848206071756;39048.995;1.5756822934879628;110;112.5;0.9777777777777777;0;Normal;Normal;0;Evet
2026-07-18;Cumartesi;Doruk Hospital;82500;60986.97;0.739236;64019.47;0.9526315978560898;12;12;1;0;Normal;Normal;3032.5;Evet
2026-07-19;Pazar;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;0;0;43386.455;0;0;112.5;0;1;Yüksek;Yüksek: Ödeme/teslimat kesintisi adayı;43386.455;Evet
2026-07-19;Pazar;Doruk Hospital;82500;57268.65;0.6941654545454545;63984.854999999996;0.8950344577634818;12;12;1;1;Normal;Normal;6716.2049999999945;Evet
2026-07-20;Pazartesi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;35335.82;0.6501530818767249;43386.455;0.8144435861376551;110;112.5;0.9777777777777777;0;Normal;Normal;8050.635000000002;Evet
2026-07-20;Pazartesi;Doruk Hospital;82500;57894.09;0.7017465454545454;63950.24;0.9052990262429038;12;12;1;0;Normal;Normal;6056.1500000000015;Evet
2026-07-21;Salı;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;9020.49;0.1659703771849126;39108.7;0.2306517475651198;110;112.5;0.9777777777777777;2;Orta;Yüksek: Ödeme/teslimat kesintisi adayı;30088.21;Evet
