Dönem;Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Para Birimi;Kampanya;Kampanya ID;Kampanya Durumu;Reklam Seti;Set ID;Set Durumu;Optimizasyon;Kampanya Günlük Bütçe;Kampanya Ömür Boyu;Set Günlük Bütçe;Set Ömür Boyu;Gerçekleşen Harcama;Gösterim;Erişim;Tıklama;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme
Temmuz 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - özbekistan- kombine2 - iOS hedefli;​120238972513950080;ACTIVE;LEAD_GENERATION;0;0;2500;0;54902;251038;107474;1398;67;0;67;6;25853
Ağustos 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - özbekistan- kombine2 - iOS hedefli;​120238972513950080;ACTIVE;LEAD_GENERATION;0;0;2500;0;12203.6;77239;57960;404;18;0;18;2;8074
Temmuz 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold -belarus,gürcistan - kombine2 - iOS hedefli;​120240027593170080;ACTIVE;LEAD_GENERATION;0;0;3000;0;60535.44;380462;161877;2849;25;0;25;8;53093
Ağustos 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold -belarus,gürcistan - kombine2 - iOS hedefli;​120240027593170080;ACTIVE;LEAD_GENERATION;0;0;3000;0;13788.8;93841;68984;747;4;0;4;3;12230
Temmuz 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;BAE Whatsapp IOS luks;​120238816549140080;ACTIVE;CONVERSATIONS;0;0;4500;0;109953.15;364788;138822;2918;0;114;114;114;71259
Ağustos 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;BAE Whatsapp IOS luks;​120238816549140080;ACTIVE;CONVERSATIONS;0;0;4500;0;25981.51;54186;40413;419;0;20;20;20;11181
Temmuz 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Bahreyn - Umman Whatsapp IOS luks - Kopya;​120238888789550080;ACTIVE;CONVERSATIONS;0;0;3500;0;89964.73;756474;244156;4898;0;149;149;149;108526
Ağustos 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Bahreyn - Umman Whatsapp IOS luks - Kopya;​120238888789550080;ACTIVE;CONVERSATIONS;0;0;3500;0;21878.99;143998;97769;907;0;25;25;25;20941
Temmuz 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Katar Whatsapp IOS luks;​120238816571390080;ACTIVE;CONVERSATIONS;0;0;3000;0;72559.42;411932;115467;3396;0;98;98;98;71383
Ağustos 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Katar Whatsapp IOS luks;​120238816571390080;ACTIVE;CONVERSATIONS;0;0;3000;0;15677.89;47712;34497;481;0;19;19;19;9244
Temmuz 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Kuveyt Whatsapp IOS luks;​120238816571400080;ACTIVE;CONVERSATIONS;0;0;11000;0;177021.58;668361;151218;6071;0;213;213;213;121136
Ağustos 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Kuveyt Whatsapp IOS luks;​120238816571400080;ACTIVE;CONVERSATIONS;0;0;11000;0;38400.71;75185;52501;831;0;37;37;37;15673
Temmuz 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Kuveyt,Katar Whatsapp android luks;​120238816571650080;ACTIVE;CONVERSATIONS;0;0;3000;0;50633.67;395952;91822;2533;0;38;38;38;55553
Ağustos 2026;Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Kuveyt,Katar Whatsapp android luks;​120238816571650080;ACTIVE;CONVERSATIONS;0;0;3000;0;9175.09;35605;23670;250;0;4;4;4;6463
Temmuz 2026;Yabancı;Arapça;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hospital;TRY;Meme Estetiği - Jinekomasti - Arap Bölgesi - Tümü - AR - Doruk Jinekomasti;​120247623884690080;PAUSED;Jinekomasti - Arap Bölgesi;​120247623884680080;CAMPAIGN_PAUSED;LEAD_GENERATION;0;0;4000;0;3902.07;28841;15139;542;22;23;45;23;5365
