"hesap";"ham_meta_adi";"meta_reklam_id";"reklam_seti_ham_adi";"kampanya_ham_adi";"durum";"yaratici_ham_adi";"cta";"destination";"yaratici_metin_ve_baslik";"yaratici_dil_sinyali";"yaratici_kimlik_kalitesi";"yaratici_ailesi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"video-1";"52668192054024";"Jinekomasti - Erkek - Avusturalya - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668192053624";"Jinekomasti - Erkek - Avusturalya - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-1";"52668190716824";"Jinekomasti - Erkek - Yeni Zellanda - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668190717424";"Jinekomasti - Erkek - Yeni Zellanda - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668192053224";"Jinekomasti - Erkek - Avusturalya - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668191684624";"Jinekomasti - Erkek - Birleşik Krallık - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668190717224";"Jinekomasti - Erkek - Yeni Zellanda - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668191685024";"Jinekomasti - Erkek - Birleşik Krallık - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-1";"52668192582424";"Jinekomasti - Erkek - Kanada - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668194801024";"Jinekomasti - Erkek - Yeni Zellanda - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
